file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,146,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,147,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,148,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,149,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,21
style.css,150,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,5
style.css,151,css,c96e8a0b,Roham Mehrabi,2025-01-24,20:37:10,-08:00,2025-01-24T20:37:10-08:00,0,24
style.css,152,css,c96e8a0b,Roham Mehrabi,2025-01-24,20:37:10,-08:00,2025-01-24T20:37:10-08:00,0,16
style.css,153,css,c96e8a0b,Roham Mehrabi,2025-01-24,20:37:10,-08:00,2025-01-24T20:37:10-08:00,0,19
style.css,154,css,c96e8a0b,Roham Mehrabi,2025-01-24,20:37:10,-08:00,2025-01-24T20:37:10-08:00,0,15
style.css,155,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,156,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,157,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,0
style.css,158,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,9
style.css,159,css,40f6d955,Roham Mehrabi,2025-01-18,20:42:19,-08:00,2025-01-18T20:42:19-08:00,0,78
style.css,160,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,161,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,162,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,163,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,164,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,165,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,166,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,0
style.css,167,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,17
style.css,168,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,13
style.css,169,css,75956b5c,Roham Mehrabi,2025-02-07,19:09:30,-08:00,2025-02-07T19:09:30-08:00,0,22
